Unacademy,Edtech,Online Learning,Bengaluru,"SoftBank, Sequoia",Series F,$440M,2023,$440M,"SoftBank, Sequoia",N/A,Strong growth,Leading online learning platform
Ola,Mobility,Ride-Hailing,Bengaluru,"SoftBank, Tiger Global",Series J,$500M,2023,$500M,"SoftBank, Tiger Global",N/A,Market leader,One of India's largest mobility rounds
Swiggy,Foodtech,Online Food Delivery,Bengaluru,"Prosus, Accel",Series J,$700M,2023,$700M,"Prosus, Accel",N/A,Market leader,Leading food delivery platform
Paytm,Fintech,Payments,Noida,"Ant Group, SoftBank",Series G,$450M,2023,$450M,"Ant Group, SoftBank",N/A,Market leader,One of India's largest fintech rounds
PolicyBazaar,Fintech,Insurtech,Gurgaon,"Tiger Global, SoftBank",Series G,$300M,2023,$300M,"Tiger Global, SoftBank",N/A,Market leader,Leading insurtech platform
Dream11,SportsTech,Fantasy Sports,Mumbai,"Tiger Global, Steadview",Series F,$400M,2023,$400M,"Tiger Global, Steadview",N/A,Market leader,Leading fantasy sports platform
CRED,Fintech,Credit Management,Bengaluru,"Sequoia, Tiger Global",Series F,$250M,2023,$250M,"Sequoia, Tiger Global",N/A,Strong growth,Leading credit management platform
Nykaa,Retail,Beauty & Personal Care,Mumbai,"Temasek, TPG",Series H,$350M,2023,$350M,"Temasek, TPG",N/A,Market leader,Leading beauty e-commerce platform
Lenskart,Retail,Eyewear,Delhi,"SoftBank, KKR",Series H,$300M,2023,$300M,"SoftBank, KKR",N/A,Market leader,Leading eyewear platform
Razorpay,Fintech,Payments,Bengaluru,"Sequoia, Tiger Global",Series F,$400M,2023,$400M,"Sequoia, Tiger Global",N/A,Market leader,Leading payments platform
Zerodha,Fintech,Stock Trading,Bengaluru,Undisclosed,Private Placement,$300M,2023,$300M,Undisclosed,N/A,Market leader,Leading stock trading platform
Groww,Fintech,Wealth Management,Bengaluru,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading wealth management platform
Cure.fit,Healthtech,Fitness & Wellness,Bengaluru,"Temasek, Accel",Series F,$250M,2023,$250M,"Temasek, Accel",N/A,Market leader,Leading fitness platform
1mg,Healthtech,Online Pharmacy,Bengaluru,"Temasek, KKR",Series F,$200M,2023,$200M,"Temasek, KKR",N/A,Market leader,Leading online pharmacy platform
PharmEasy,Healthtech,Online Pharmacy,Mumbai,"Temasek, KKR",Series F,$200M,2023,$200M,"Temasek, KKR",N/A,Market leader,Leading healthtech platform
Practo,Healthtech,Healthcare Services,Bengaluru,"Tiger Global, Sequoia",Series F,$250M,2023,$250M,"Tiger Global, Sequoia",N/A,Market leader,Leading healthcare platform
MedGenome,Healthtech,Genomics,Bengaluru,"Sequoia, F-Prime",Series E,$200M,2023,$200M,"Sequoia, F-Prime",N/A,Strong growth,Leading genomics platform
CarDekho,AutoTech,Online Car Marketplace,Gurgaon,"Sequoia, Tiger Global",Series F,$300M,2023,$300M,"Sequoia, Tiger Global",N/A,Market leader,Leading car marketplace
Bounce,Mobility,Scooter Rentals,Bengaluru,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading scooter rental platform
Delhivery,Logistics,Parcel Delivery,Gurgaon,"SoftBank, Carlyle",Series G,$500M,2023,$500M,"SoftBank, Carlyle",N/A,Market leader,Leading logistics platform
Rivigo,Logistics,Trucking,Gurgaon,"Tiger Global, SAIF Partners",Series F,$300M,2023,$300M,"Tiger Global, SAIF Partners",N/A,Strong growth,Leading trucking platform
BlackBuck,Logistics,Trucking,Bengaluru,"Accel, Tiger Global",Series F,$250M,2023,$250M,"Accel, Tiger Global",N/A,Market leader,Leading trucking platform
Udaan,B2B Commerce,Wholesale,Bengaluru,"Lightspeed, M&G",Series G,$400M,2023,$400M,"Lightspeed, M&G",N/A,Market leader,Leading B2B commerce platform
Infra.Market,Construction Tech,Building Materials,Bengaluru,"Tiger Global, Sequoia",Series F,$300M,2023,$300M,"Tiger Global, Sequoia",N/A,Strong growth,Leading construction platform
Zomato,Foodtech,Online Food Delivery,Bengaluru,"Ant Group, Tiger Global",Series J,$700M,2023,$700M,"Ant Group, Tiger Global",N/A,Market leader,Leading food delivery platform
Swiggy,Foodtech,Online Food Delivery,Bengaluru,"Prosus, Accel",Series J,$600M,2023,$600M,"Prosus, Accel",N/A,Market leader,Leading food delivery platform
Licious,Foodtech,Online Meat Delivery,Bengaluru,"Tiger Global, Temasek",Series F,$200M,2023,$200M,"Tiger Global, Temasek",N/A,Strong growth,Leading meat delivery platform
BigBasket,E-commerce,Online Grocery,Bengaluru,"Alibaba, Tata",Series F,$400M,2023,$400M,"Alibaba, Tata",N/A,Market leader,Leading online grocery platform
Flipkart,E-commerce,Online Retail,Bengaluru,"Walmart, Tiger Global",Series J,$500M,2023,$500M,"Walmart, Tiger Global",N/A,Market leader,Leading e-commerce platform
Meesho,E-commerce,Social Commerce,Bengaluru,"Prosus, Sequoia",Series F,$550M,2023,$550M,"Prosus, Sequoia",N/A,Market leader,Leading social commerce platform
Nykaa,Retail,Beauty & Personal Care,Mumbai,"Temasek, TPG",Series H,$350M,2023,$350M,"Temasek, TPG",N/A,Market leader,Leading beauty e-commerce platform
Myntra,E-commerce,Fashion,Bengaluru,"Flipkart, Accel",Series F,$300M,2023,$300M,"Flipkart, Accel",N/A,Market leader,Leading fashion platform
Ajio,E-commerce,Fashion,Mumbai,"Reliance, Tiger Global",Series F,$250M,2023,$250M,"Reliance, Tiger Global",N/A,Strong growth,Leading fashion platform
FirstCry,E-commerce,Baby Products,Mumbai,"SoftBank, Accel",Series F,$200M,2023,$200M,"SoftBank, Accel",N/A,Market leader,Leading baby products platform
Urban Company,Services,Home Services,Bengaluru,"Tiger Global, Steadview",Series F,$300M,2023,$300M,"Tiger Global, Steadview",N/A,Market leader,Leading home services platform
Housejoy,Services,Home Services,Bengaluru,"Accel, Sequoia",Series F,$200M,2023,$200M,"Accel, Sequoia",N/A,Strong growth,Leading home services platform
Urban Ladder,Retail,Furniture,Bengaluru,"Sequoia, SAIF Partners",Series F,$250M,2023,$250M,"Sequoia, SAIF Partners",N/A,Market leader,Leading furniture platform
Pepperfry,Retail,Furniture,Mumbai,"Bessemer, Norwest",Series F,$200M,2023,$200M,"Bessemer, Norwest",N/A,Strong growth,Leading furniture platform
Boat,Consumer Electronics,Audio Devices,Delhi,"Tiger Global, Sequoia",Series F,$300M,2023,$300M,"Tiger Global, Sequoia",N/A,Market leader,Leading audio brand
CRED,Fintech,Credit Management,Bengaluru,"Sequoia, Tiger Global",Series F,$250M,2023,$250M,"Sequoia, Tiger Global",N/A,Strong growth,Leading credit management platform
Razorpay,Fintech,Payments,Bengaluru,"Sequoia, Tiger Global",Series F,$400M,2023,$400M,"Sequoia, Tiger Global",N/A,Market leader,Leading payments platform
Zerodha,Fintech,Stock Trading,Bengaluru,Undisclosed,Private Placement,$300M,2023,$300M,Undisclosed,N/A,Market leader,Leading stock trading platform
Groww,Fintech,Wealth Management,Bengaluru,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading wealth management platform
PolicyBazaar,Fintech,Insurtech,Gurgaon,"Tiger Global, SoftBank",Series G,$300M,2023,$300M,"Tiger Global, SoftBank",N/A,Market leader,Leading insurtech platform
Digit,Fintech,Lending,Bengaluru,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading lending platform
Slice,Fintech,Credit Cards,Bengaluru,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading credit card platform
Khatabook,Fintech,Accounting,Bengaluru,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading accounting platform
BharatPe,Fintech,Payments,New Delhi,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading payments platform
Cashfree,Fintech,Payments,Bengaluru,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading payments platform
Cure.fit,Healthtech,Fitness & Wellness,Bengaluru,"Temasek, Accel",Series F,$250M,2023,$250M,"Temasek, Accel",N/A,Market leader,Leading fitness platform
1mg,Healthtech,Online Pharmacy,Bengaluru,"Temasek, KKR",Series F,$200M,2023,$200M,"Temasek, KKR",N/A,Market leader,Leading online pharmacy platform
Practo,Healthtech,Healthcare Services,Bengaluru,"Tiger Global, Sequoia",Series F,$250M,2023,$250M,"Tiger Global, Sequoia",N/A,Market leader,Leading healthcare platform
MedGenome,Healthtech,Genomics,Bengaluru,"Sequoia, F-Prime",Series E,$200M,2023,$200M,"Sequoia, F-Prime",N/A,Strong growth,Leading genomics platform
Niramai,Healthtech,AI Diagnostics,Bengaluru,"Pi Ventures, Sequoia",Series C,$200M,2023,$200M,"Pi Ventures, Sequoia",N/A,Strong growth,Leading AI diagnostics platform
SigTuple,Healthtech,AI Diagnostics,Bengaluru,"Accel, Sequoia",Series C,$200M,2023,$200M,"Accel, Sequoia",N/A,Strong growth,Leading AI diagnostics platform
HealthifyMe,Healthtech,Fitness & Wellness,Bengaluru,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading fitness platform
PharmEasy,Healthtech,Online Pharmacy,Mumbai,"Temasek, KKR",Series F,$200M,2023,$200M,"Temasek, KKR",N/A,Market leader,Leading healthtech platform
Medlife,Healthtech,Online Pharmacy,Bengaluru,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading online pharmacy platform
mfine,Healthtech,Telemedicine,Bengaluru,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading telemedicine platform
Vedantu,Edtech,Online Learning,Bengaluru,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading online learning platform
WhiteHat Jr,Edtech,Coding Education,Mumbai,"Byju's, Tiger Global",Series C,$200M,2023,$200M,"Byju's, Tiger Global",N/A,Strong growth,Leading coding education platform
UpGrad,Edtech,Professional Education,Mumbai,"Temasek, IIFL",Series F,$200M,2023,$200M,"Temasek, IIFL",N/A,Strong growth,Leading professional education platform
Simplilearn,Edtech,Professional Education,Bengaluru,"Blackstone, Sequoia",Series F,$200M,2023,$200M,"Blackstone, Sequoia",N/A,Strong growth,Leading professional education platform
Great Learning,Edtech,Professional Education,Bengaluru,"Sequoia, Times Internet",Series F,$200M,2023,$200M,"Sequoia, Times Internet",N/A,Strong growth,Leading professional education platform
Upstox,Fintech,Stock Trading,Mumbai,"Tiger Global, Steadview",Series F,$200M,2023,$200M,"Tiger Global, Steadview",N/A,Strong growth,Leading stock trading platform
Groww,Fintech,Wealth Management,Bengaluru,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading wealth management platform
Zerodha,Fintech,Stock Trading,Bengaluru,Undisclosed,Private Placement,$200M,2023,$200M,Undisclosed,N/A,Strong growth,Leading stock trading platform
CoinDCX,Fintech,Cryptocurrency,Mumbai,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading cryptocurrency platform
WazirX,Fintech,Cryptocurrency,Mumbai,"Binance, Tiger Global",Series F,$200M,2023,$200M,"Binance, Tiger Global",N/A,Strong growth,Leading cryptocurrency platform
Nykaa,Retail,Beauty & Personal Care,Mumbai,"Temasek, TPG",Series H,$200M,2023,$200M,"Temasek, TPG",N/A,Strong growth,Leading beauty e-commerce platform
Mamaearth,D2C,Personal Care,Delhi,"Sequoia, Fireside",Series F,$200M,2023,$200M,"Sequoia, Fireside",N/A,Strong growth,Leading personal care brand
Boat,Consumer Electronics,Audio Devices,Delhi,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading audio brand
Noise,Consumer Electronics,Wearables,Delhi,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading wearables brand
Fastrack,Consumer Electronics,Wearables,Delhi,"Titan, Tiger Global",Series F,$200M,2023,$200M,"Titan, Tiger Global",N/A,Strong growth,Leading wearables brand
Boat,Consumer Electronics,Audio Devices,Delhi,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading audio brand
Lenskart,Retail,Eyewear,Delhi,"SoftBank, KKR",Series H,$200M,2023,$200M,"SoftBank, KKR",N/A,Strong growth,Leading eyewear platform
Urban Company,Services,Home Services,Bengaluru,"Tiger Global, Steadview",Series F,$200M,2023,$200M,"Tiger Global, Steadview",N/A,Strong growth,Leading home services platform
Urban Company,Services,Home Services,Bengaluru,"Tiger Global, Steadview",Series F,$200M,2023,$200M,"Tiger Global, Steadview",N/A,Strong growth,Leading home services platform
Urban Company,Services,Home Services,Bengaluru,"Tiger Global, Steadview",Series F,$200M,2023,$200M,"Tiger Global, Steadview",N/A,Strong growth,Leading home services platform
Delhivery,Logistics,Parcel Delivery,Gurgaon,"SoftBank, Carlyle",Series G,$200M,2023,$200M,"SoftBank, Carlyle",N/A,Strong growth,Leading logistics platform
BlackBuck,Logistics,Trucking,Bengaluru,"Accel, Tiger Global",Series F,$200M,2023,$200M,"Accel, Tiger Global",N/A,Strong growth,Leading trucking platform
Rivigo,Logistics,Trucking,Gurgaon,"Tiger Global, SAIF Partners",Series F,$200M,2023,$200M,"Tiger Global, SAIF Partners",N/A,Strong growth,Leading trucking platform
Bounce,Mobility,Scooter Rentals,Bengaluru,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading scooter rental platform
Yulu,Mobility,Electric Scooters,Bengaluru,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading electric scooter platform
Rapido,Mobility,Bike Taxi,Bengaluru,"Accel, Tiger Global",Series E,$200M,2023,$200M,"Accel, Tiger Global",N/A,Strong growth,Leading bike taxi platform
Ola,Mobility,Ride-Hailing,Bengaluru,"SoftBank, Tiger Global",Series J,$200M,2023,$200M,"SoftBank, Tiger Global",N/A,Strong growth,Leading ride-hailing platform
Zomato,Foodtech,Online Food Delivery,Bengaluru,"Ant Group, Tiger Global",Series J,$200M,2023,$200M,"Ant Group, Tiger Global",N/A,Strong growth,Leading food delivery platform
Swiggy,Foodtech,Online Food Delivery,Bengaluru,"Prosus, Accel",Series J,$200M,2023,$200M,"Prosus, Accel",N/A,Strong growth,Leading food delivery platform
Licious,Foodtech,Online Meat Delivery,Bengaluru,"Tiger Global, Temasek",Series F,$200M,2023,$200M,"Tiger Global, Temasek",N/A,Strong growth,Leading meat delivery platform
BigBasket,E-commerce,Online Grocery,Bengaluru,"Alibaba, Tata",Series F,$200M,2023,$200M,"Alibaba, Tata",N/A,Strong growth,Leading online grocery platform
Flipkart,E-commerce,Online Retail,Bengaluru,"Walmart, Tiger Global",Series J,$200M,2023,$200M,"Walmart, Tiger Global",N/A,Strong growth,Leading e-commerce platform
Meesho,E-commerce,Social Commerce,Bengaluru,"Prosus, Sequoia",Series F,$200M,2023,$200M,"Prosus, Sequoia",N/A,Strong growth,Leading social commerce platform
Nykaa,Retail,Beauty & Personal Care,Mumbai,"Temasek, TPG",Series H,$200M,2023,$200M,"Temasek, TPG",N/A,Strong growth,Leading beauty e-commerce platform
Mamaearth,D2C,Personal Care,Delhi,"Sequoia, Fireside",Series F,$200M,2023,$200M,"Sequoia, Fireside",N/A,Strong growth,Leading personal care brand
Boat,Consumer Electronics,Audio Devices,Delhi,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading audio brand
Noise,Consumer Electronics,Wearables,Delhi,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading wearables brand
Fastrack,Consumer Electronics,Wearables,Delhi,"Titan, Tiger Global",Series F,$200M,2023,$200M,"Titan, Tiger Global",N/A,Strong growth,Leading wearables brand
Urban Company,Services,Home Services,Bengaluru,"Tiger Global, Steadview",Series F,$200M,2023,$200M,"Tiger Global, Steadview",N/A,Strong growth,Leading home services platform
Urban Company,Services,Home Services,Bengaluru,"Tiger Global, Steadview",Series F,$200M,2023,$200M,"Tiger Global, Steadview",N/A,Strong growth,Leading home services platform
Vedantu,Edtech,Online Learning,Bengaluru,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading online learning platform
WhiteHat Jr,Edtech,Coding Education,Mumbai,"Byju's, Tiger Global",Series C,$200M,2023,$200M,"Byju's, Tiger Global",N/A,Strong growth,Leading coding education platform
UpGrad,Edtech,Professional Education,Mumbai,"Temasek, IIFL",Series F,$200M,2023,$200M,"Temasek, IIFL",N/A,Strong growth,Leading professional education platform
Simplilearn,Edtech,Professional Education,Bengaluru,"Blackstone, Sequoia",Series F,$200M,2023,$200M,"Blackstone, Sequoia",N/A,Strong growth,Leading professional education platform
Great Learning,Edtech,Professional Education,Bengaluru,"Sequoia, Times Internet",Series F,$200M,2023,$200M,"Sequoia, Times Internet",N/A,Strong growth,Leading professional education platform
Upstox,Fintech,Stock Trading,Mumbai,"Tiger Global, Steadview",Series F,$200M,2023,$200M,"Tiger Global, Steadview",N/A,Strong growth,Leading stock trading platform
Groww,Fintech,Wealth Management,Bengaluru,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading wealth management platform
Zerodha,Fintech,Stock Trading,Bengaluru,Undisclosed,Private Placement,$200M,2023,$200M,Undisclosed,N/A,Strong growth,Leading stock trading platform
CoinDCX,Fintech,Cryptocurrency,Mumbai,"Tiger Global, Sequoia",Series F,$200M,2023,$200M,"Tiger Global, Sequoia",N/A,Strong growth,Leading cryptocurrency platform
WazirX,Fintech,Cryptocurrency,Mumbai,"Binance, Tiger Global",Series F,$200M,2023,$200M,"Binance, Tiger Global",N/A,Strong growth,Leading cryptocurrency platform
VC_Investment_Data_Generator,,,,,,,,,,,,
Startup Name,Industry Vertical,SubVertical,City,Investors,Investment Type,Amount,Date,Total Companies Investment,Partners,Seed Companies,Loss/Profit,Additional Notes
Infoify Healthtech,Healthtech,AI Diagnostics,Bengaluru,Tiger Global,Series D,$619M,2023-09-19,$619M,Tiger Global,N/A,Strong growth,Leading ai diagnostics platform
Smartzone Fintech,Fintech,Payments,Pune,Tiger Global,Seed,$373M,2023-08-27,$373M,Tiger Global,N/A,Profitability,Leading payments platform
Quickpoint Services,Services,Healthcare Services,Pune,Prosus,Series F,$707M,2023-08-04,$707M,Prosus,N/A,Profitability,Leading healthcare services platform
Techly Services,Services,Home Services,Chennai,"Sequoia, Accel, SoftBank",Series D,$886M,2023-04-16,$886M,"Sequoia, Accel, SoftBank",N/A,Profitability,Leading home services platform
Primepoint Foodtech,Foodtech,Online Food Delivery,Delhi,"Lightspeed, SoftBank",Series D,$697M,2023-08-06,$697M,"Lightspeed, SoftBank",N/A,Profitability,Leading online food delivery platform
Techworks Edtech,Edtech,Professional Education,Gurgaon,"Blackstone, Sequoia, TPG",Series J,$417M,2023-10-01,$417M,"Blackstone, Sequoia, TPG",N/A,Loss narrowing,Leading professional education platform
Nextzone Edtech,Edtech,Online Learning,Noida,"KKR, Prosus",Series B,$880M,2023-06-17,$880M,"KKR, Prosus",N/A,Strong growth,Leading online learning platform
Infopoint Edtech,Edtech,Online Learning,Hyderabad,"Lightspeed, Prosus",Series F,$322M,2023-07-08,$322M,"Lightspeed, Prosus",N/A,Market leader,Leading online learning platform
Primeify Fintech,Fintech,Payments,Chennai,Temasek,Series G,$558M,2023-09-08,$558M,Temasek,N/A,Strong growth,Leading payments platform
Nextworks E-commerce,E-commerce,Grocery,Pune,Blackstone,Series G,$536M,2023-12-18,$536M,Blackstone,N/A,Strong growth,Leading grocery platform
Easypoint Mobility,Mobility,Bike Taxi,Bengaluru,"TPG, KKR",Series J,$922M,2023-02-06,$922M,"TPG, KKR",N/A,Strong growth,Leading bike taxi platform
Techlabs Edtech,Edtech,Coding Education,Hyderabad,"Prosus, Accel, Blackstone",Series A,$956M,2023-06-07,$956M,"Prosus, Accel, Blackstone",N/A,Strong growth,Leading coding education platform
Quickzone Healthtech,Healthtech,AI Diagnostics,Bengaluru,Lightspeed,Series A,$316M,2023-02-26,$316M,Lightspeed,N/A,Strong growth,Leading ai diagnostics platform
Golabs Edtech,Edtech,Coding Education,Noida,"KKR, TPG",Series B,$234M,2023-07-28,$234M,"KKR, TPG",N/A,Loss narrowing,Leading coding education platform
Netzone Edtech,Edtech,Coding Education,Hyderabad,"Temasek, SoftBank, TPG",Series J,$537M,2023-09-16,$537M,"Temasek, SoftBank, TPG",N/A,Loss narrowing,Leading coding education platform
Primebase Foodtech,Foodtech,Meat Delivery,Pune,"Sequoia, KKR",Series C,$943M,2023-06-08,$943M,"Sequoia, KKR",N/A,Strong growth,Leading meat delivery platform
Nextlabs Mobility,Mobility,Electric Vehicles,Pune,"Tiger Global, TPG",Series F,$259M,2023-09-17,$259M,"Tiger Global, TPG",N/A,Market leader,Leading electric vehicles platform
Primeify Foodtech,Foodtech,Cloud Kitchen,Noida,"Sequoia, Lightspeed, Blackstone",Series D,$977M,2023-12-23,$977M,"Sequoia, Lightspeed, Blackstone",N/A,Loss narrowing,Leading cloud kitchen platform
Primepoint E-commerce,E-commerce,Baby Products,Gurgaon,"TPG, Accel",Series D,$944M,2023-01-16,$944M,"TPG, Accel",N/A,Market leader,Leading baby products platform
Quickworks Edtech,Edtech,Online Learning,Bengaluru,"Accel, SoftBank",Series C,$239M,2023-02-18,$239M,"Accel, SoftBank",N/A,Market leader,Leading online learning platform
Quickify Retail,Retail,Furniture,Pune,"KKR, Blackstone, Temasek",Series D,$770M,2023-04-06,$770M,"KKR, Blackstone, Temasek",N/A,Loss narrowing,Leading furniture platform
Primepoint Fintech,Fintech,Insurtech,Bengaluru,"TPG, Accel, Temasek",Series C,$401M,2023-06-07,$401M,"TPG, Accel, Temasek",N/A,Profitability,Leading insurtech platform
Networks Mobility,Mobility,Scooter Rentals,Delhi,Blackstone,Series H,$756M,2023-06-11,$756M,Blackstone,N/A,Market leader,Leading scooter rentals platform
Datahub Fintech,Fintech,Wealth Management,Noida,Accel,Series C,$848M,2023-08-16,$848M,Accel,N/A,Loss narrowing,Leading wealth management platform
Easylabs Healthtech,Healthtech,Telemedicine,Noida,"Prosus, Lightspeed",Series C,$768M,2023-08-24,$768M,"Prosus, Lightspeed",N/A,Strong growth,Leading telemedicine platform
Techly Healthtech,Healthtech,AI Diagnostics,Chennai,Tiger Global,Series E,$702M,2023-07-18,$702M,Tiger Global,N/A,Strong growth,Leading ai diagnostics platform
Easyify Services,Services,Beauty Services,Mumbai,"KKR, Sequoia",Series G,$444M,2023-11-26,$444M,"KKR, Sequoia",N/A,Market leader,Leading beauty services platform
Smartster E-commerce,E-commerce,Fashion,Bengaluru,"Blackstone, KKR",Series G,$310M,2023-08-20,$310M,"Blackstone, KKR",N/A,Market leader,Leading fashion platform
Primebase Logistics,Logistics,Supply Chain,Gurgaon,"Temasek, SoftBank, Prosus",Series G,$250M,2023-09-01,$250M,"Temasek, SoftBank, Prosus",N/A,Loss narrowing,Leading supply chain platform
Database Mobility,Mobility,Bike Taxi,Noida,"SoftBank, Tiger Global",Series B,$648M,2023-12-25,$648M,"SoftBank, Tiger Global",N/A,Strong growth,Leading bike taxi platform
Smartly Logistics,Logistics,Trucking,Bengaluru,Tiger Global,Series F,$405M,2023-05-08,$405M,Tiger Global,N/A,Market leader,Leading trucking platform
Infoly Retail,Retail,Beauty & Personal Care,Delhi,SoftBank,Series J,$911M,2023-07-22,$911M,SoftBank,N/A,Strong growth,Leading beauty & personal care platform
